id,customer_id,customer_name,service_type,number_of_people,booking_date,travel_start_date,travel_end_date,duration_in_hours,destination_id,total_cost,cost_per_person
1,1343,Kathleen Brown,Flight,5,4/6/2022,4/25/2022,4/25/2022,7,17,1702.31,340.462
2,6154,Lisa Copeland,p18,2,4/12/2022,7/17/2022,7/21/2022,96,28,3319.08,1659.54
3,6396,John Hardy,h47,1,2/9/2022,2/14/2022,2/21/2022,170,13,3400,3400
4,8422,Christopher Carter,Train,3,2/20/2022,4/11/2022,4/12/2022,24,18,533.33,177.7766667
5,8003,Kurt Johnson,Train,8,4/21/2022,6/5/2022,6/7/2022,68,6,1470.55,183.81875
6,7820,Matthew Levine,Flight,1,2/6/2022,2/21/2022,2/21/2022,2,1,1636.36,1636.36
7,7551,Timothy Ibarra,Train,7,2/1/2022,3/26/2022,3/26/2022,9,25,592.42,84.63142857
8,3747,Victoria Love,Train,5,4/28/2022,6/26/2022,6/26/2022,7,30,498.16,99.632
9,7020,Jacqueline Griffin,Flight,1,3/21/2022,4/10/2022,4/10/2022,10,25,1513.93,1513.93
10,7019,Douglas Warren,p8,1,4/28/2022,10/11/2022,10/20/2022,216,11,3117.15,3117.15
11,7401,Thomas Jones,Train,1,4/23/2022,5/23/2022,5/24/2022,39,26,1241.95,1241.95
12,1807,Dr. Angela Anderson DVM,h59,1,4/20/2022,4/30/2022,5/5/2022,128,11,4992,4992
13,6637,Joshua Thomas,Flight,1,3/25/2022,4/13/2022,4/13/2022,7,8,236.23,236.23
14,8624,John Hoffman,Flight,1,4/20/2022,5/7/2022,5/7/2022,10,17,910.03,910.03
15,3735,Christopher Holt,Flight,1,3/13/2022,3/30/2022,3/30/2022,4,28,916.94,916.94
16,2067,Taylor Garrett,Flight,1,2/12/2022,3/2/2022,3/2/2022,6,8,1443.73,1443.73
17,9588,Lauren Rojas,Flight,2,2/10/2022,3/1/2022,3/1/2022,7,17,800.83,400.415
18,4316,John Parker MD,Train,5,3/28/2022,5/27/2022,5/28/2022,26,4,413.04,82.608
